recipe,category,preparation,time,difficulty
Poule Au Pot,Plat Principal,20,90,facile
Lotte A L'Armoricaine,Plat Principal,30,120,difficile
Sauce Hollandaise,Sauce,15,5,tres difficile
Mayonnaise,Sauce,10,0,difficile
Bar Roti,Plat Principal,15,60,facile
Vinaigrette,Sauce,10,0,facile
Sauce Cocktail,Sauce,10,0,difficile
Boeuf Bourguignon,Plat Principal,30,150,tres difficile
Poulet Basquaise,Plat Principal,20,60,facile
Pot-Au-Feu,Plat Principal,20,180,tres difficile
Couteaux A La Plancha,Plat Principal,0,5,tres difficile
Charlotte Aux Fraises,Dessert,30,60,tres difficile
Frisee Aux Lardons,Entree,10,10,facile
Oeufs Mimosa,Entree,10,0,facile
